Word,foil1,foil2,foil3,set
go,be,are,too,1
me,no,your,cat,1
he,do,make,she,1
in,back,put,have,1
at,came,he,some,1
on,but,see,away,1
man,look,it,down,2
sad,went,the,a,2
lap,what,all,them,2
him,did,here,went,2
sit,be,no,in,2
hot,got,from,that,2
say,me,tree,they,3
our,eat,out,like,3
off,do,an,there,3
she,like,come,little,3
who,there,will,with,3
why,little,time,had,3
have,with,my,are,6
here,had,your,your,6
like,are,too,make,6
mean,your,cat,put,6
need,make,she,he,6
what,put,have,see,6
from,he,some,it,7
know,see,away,the,7
look,it,down,all,7
when,the,a,here,7
right,all,them,no,7
where,here,went,from,7
down,no,in,tree,8
make,from,that,out,8
only,tree,they,an,8
some,out,be,come,8
them,an,no,will,8
very,come,do,time,8
think,will,back,my,10
about,time,came,your,13
going,my,but,be,13
there,your,look,no,13
would,be,got,do,13
doing,no,be,back,13
