target,foil1,foil2,foil3,set,stim
birthday,birth,day,bathday,1,birth-day
bathroom,bath,room,bedroom,1,bath-room
bathtub,bath,tub,bathroom,1,bath-tub
icecream,ice,cream,icy,1,ice-cream
toothpaste,tooth,paste,toothbrush,1,tooth-paste
snowman,snow,man,strawman,1,snow-man
water,wait,waiter,wade,2,wa-ter
animal,animate,mall,any,2,ani-mal
cartoon,carton,cart,toon,2,car-toon
flower,flow,flowy,flowed,2,flow-er
yellow,yelled,yellowed,yell,2,yell-ow
pillow,billow,below,pill,2,pill-ow
dad,bad,tad,dab,3,d-ad
bad,dad,pad,bat,3,b-ad
cat,cot,cud,gnat,3,c-at
lip,rip,lid,rib,3,l-ip
but,putt,put,bud,3,b-ut
sit,sat,sad,set,3,s-it
sad,said,fad,sat,4,s-a-d
lap,rap,lab,lip,4,l-a-p
mad,mat,mud,pad,4,m-a-d
den,ten,pen,don,4,d-e-n
rip,ripe,lip,rib,4,r-i-p
fog,dog,log,hog,4,f-o-g
drop,drape,drip,trip,5,d-r-o-p
bird,beard,bard,board,5,b-i-r-d
lunch,lunge,launch,bunch,5,l-u-n-ch
talk,stalk,tall,take,5,t-a-l-k
brush,rush,push,brooch,5,b-r-u-sh
plant,pliant,plan,planned,5,p-l-a-n-t
grast,glast,glust,glest,6,g-r-a-s-t
fuman,buman,fumam,fumin,6,f-u-m-a-n
drast,trast,frist,frast,6,d-r-a-s-t
drong,brong,primg,dreng,6,d-r-o-n-g
appent,eppent,appant,uppent,6,a-p-p-e-n-t
londer,londel,lander,lunder,6,l-o-n-d-e-r
